aX,aY,aZ,gX,gY,gZ
0.191,-0.397,-0.934,-4.089,-2.136,-2.808
0.190,-0.391,-0.936,-4.150,-1.099,-1.282
0.187,-0.377,-0.949,-4.211,-0.061,0.916
0.184,-0.367,-0.949,-4.517,0.732,2.502
0.181,-0.367,-0.944,-4.395,0.916,2.930
0.174,-0.372,-0.958,-3.174,-0.183,2.441
0.168,-0.379,-0.976,-2.441,-1.221,1.160
0.164,-0.383,-0.969,-2.869,-2.136,-0.488
0.157,-0.381,-0.957,-3.113,-3.357,-2.563
0.152,-0.373,-0.967,-2.502,-4.822,-4.150
0.149,-0.366,-0.984,-2.747,-5.615,-4.395
0.151,-0.367,-0.983,-4.761,-5.737,-4.028
0.157,-0.365,-0.970,-7.141,-5.676,-2.441
0.169,-0.364,-0.965,-9.216,-5.066,0.122
0.196,-0.378,-0.951,-10.254,-4.211,2.075
0.209,-0.392,-0.938,-10.559,-3.967,2.502
0.215,-0.401,-0.937,-10.193,-4.395,1.526
0.219,-0.421,-0.931,-9.705,-4.761,-0.427
0.216,-0.433,-0.909,-9.155,-4.822,-2.747
0.202,-0.439,-0.901,-7.812,-5.310,-4.211
0.193,-0.429,-0.918,-6.165,-5.554,-4.456
0.185,-0.414,-0.928,-5.615,-5.005,-4.028
0.183,-0.398,-0.937,-6.226,-3.601,-2.136
0.191,-0.380,-0.952,-7.324,-2.380,0.977
0.203,-0.354,-0.967,-8.728,-1.526,3.723
0.213,-0.344,-0.980,-10.376,-1.221,4.700
0.214,-0.333,-0.987,-11.658,-1.587,3.601
0.203,-0.329,-0.996,-12.756,-2.869,0.549
0.183,-0.330,-0.994,-13.611,-4.639,-3.113
0.164,-0.344,-0.980,-14.832,-6.775,-5.493
0.150,-0.355,-0.973,-15.625,-8.179,-7.080
0.140,-0.361,-0.968,-16.968,-9.033,-6.958
0.138,-0.372,-0.963,-18.738,-9.277,-5.310
0.141,-0.375,-0.961,-20.447,-9.460,-3.662
0.147,-0.369,-0.952,-22.400,-9.644,-1.709
0.157,-0.374,-0.946,-23.315,-10.376,-0.732
0.159,-0.375,-0.956,-23.376,-12.024,-0.732
0.160,-0.376,-0.971,-24.048,-13.916,-1.770
0.156,-0.380,-0.973,-25.879,-15.747,-2.930
0.150,-0.379,-0.975,-28.137,-17.456,-3.662
0.144,-0.370,-0.971,-31.128,-18.616,-3.357
0.149,-0.378,-0.946,-34.058,-18.677,-1.953
0.152,-0.391,-0.922,-35.217,-18.677,-0.061
